,Title,Year,Metacritic,Internet Movie Database,Rotten Tomatoes,IMDB Votes
455,Star Wars: Episode IV - A New Hope,1977,0.9,0.86,0.92,1181083.0
456,Star Wars: Episode V - The Empire Strikes Back,1980,0.82,0.8699999999999999,0.94,1109656.0
457,Star Wars: Episode VI - Return of the Jedi,1983,0.58,0.8300000000000001,0.82,912250.0
458,Star Wars: Episode VII - The Force Awakens,2015,0.8,0.79,0.93,833706.0
459,Star Wars: Episode VIII - The Last Jedi,2017,0.85,0.7,0.91,532835.0
460,Star Wars: Episode IX - The Rise of Skywalker,2019,0.53,0.67,0.52,294411.0
461,Star Wars: The Clone Wars,2008,0.35,0.5900000000000001,0.18,53973.0
462,Stepsister from Planet Weird,2000,,0.6,,1317.0
463,Steven Universe: The Movie,2019,,0.79,1.0,3364.0
464,Stitch! The Movie,2003,,0.62,0.2,7622.0
465,Stranded,1987,,0.53,,310.0
466,Strange Invaders,1983,,0.55,0.63,2455.0
467,Suburban Commando,1991,,0.45,0.15,9077.0
468,Super 8,2011,0.72,0.7,0.81,329334.0
469,Supergirl,1984,0.42,0.44000000000000006,0.09,17830.0
470,Superlópez,2018,,0.53,,2497.0
471,Superman,1978,0.8,0.73,0.94,154096.0
472,Superman/Batman: Public Enemies,2009,,0.72,,20483.0
473,Superman II,1980,0.87,0.6799999999999999,0.87,94616.0
474,Superman III,1983,0.44,0.5,0.26,62277.0
475,Superman IV: The Quest for Peace,1987,0.24,0.37,0.11,41260.0
476,Superman Returns,2006,0.72,0.6,0.75,266333.0
477,Supersonic Man,1979,,0.31,,702.0
478,Target Earth,1954,,0.5599999999999999,,949.0
479,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,0.4,0.6,0.37,81392.0
480,Teenagers from Outer Space,1959,,0.38,0.4,2884.0
481,The Terrornauts,1967,,0.5,,294.0
482,Terror of Mechagodzilla,1975,,0.63,0.43,3834.0
483,TerrorVision,1987,,0.5700000000000001,0.0,5989.0
484,They Came from Beyond Space,1967,,0.45999999999999996,,1318.0
485,They Live,1988,0.54,0.73,0.86,103959.0
486,The Thing,1982,0.57,0.8099999999999999,0.84,351440.0
487,The Thing,2011,0.49,0.62,0.35,116864.0
488,The Thing from Another World,1951,,0.71,0.89,24216.0
489,This Island Earth,1955,,0.5900000000000001,0.73,8539.0
490,Thor,2011,0.57,0.7,0.77,717145.0
491,Thor: The Dark World,2013,0.54,0.6900000000000001,0.66,571192.0
492,Thor: Ragnarok,2017,0.74,0.79,0.93,542938.0
493,The Three Stooges in Orbit,1962,,0.5900000000000001,,785.0
494,Thunderbirds Are Go,1966,,0.65,0.57,1931.0
495,Titan A.E.,2000,0.48,0.6599999999999999,0.51,57443.0
496,Tom and Jerry: Blast Off to Mars,2005,,0.6,,1517.0
497,Too Many Cooks,2014,,0.85,,2870.0
498,Toomorrow,1970,,0.54,,165.0
499,Transformers,2007,0.61,0.7,0.58,583564.0
500,The Transformers: The Movie,1986,,0.73,0.58,36621.0
501,Transformers: Age of Extinction,2014,0.32,0.5599999999999999,0.18,291884.0
502,Transformers: Dark of the Moon,2011,0.42,0.62,0.35,376258.0
503,Transformers: Revenge of the Fallen,2009,0.35,0.6,0.2,375358.0
504,Transformers: The Last Knight,2017,0.27,0.52,0.15,128801.0
505,Transformers: Bumblebee,2018,,,,
506,Transmorphers,2007,,0.16999999999999998,,4317.0
507,Transmorphers: Fall of Man,2009,,0.2,,1522.0
508,Treasure Planet,2002,0.6,0.72,0.69,96646.0
509,A Trip to Mars (Himmelskibet),1918,,,,
510,A Trip to the Moon,1902,,0.82,1.0,41524.0
511,The Trollenberg Terror,1958,,0.6,,33.0
512,Tropico,2013,,0.8,,917.0
513,Turbo: A Power Rangers Movie,1997,0.35,0.36,0.15,7888.0
514,U.F.O.,1993,,0.47000000000000003,,246.0
515,U.F.O.,2012,,0.22999999999999998,,169.0
516,UFO Abduction,1989,,0.49000000000000005,,12.0
517,The UFO Incident,1975,,0.6799999999999999,,527.0
518,UHF,1989,0.32,0.7,0.64,24871.0
519,Ultimate Avengers - The Movie,2006,,,,
520,Unaware,2013,,0.45,,1013.0
521,Under the Mountain,2009,,0.49000000000000005,,2011.0
522,Under the Skin,2013,0.79,0.63,0.85,122282.0
523,Valerian and the City of a Thousand Planets,2017,0.51,0.65,0.47,153094.0
524,Venom,2018,0.35,0.67,0.29,327020.0
525,V/H/S,2012,0.55,0.58,0.58,55285.0
526,V/H/S/2,2013,0.49,0.6,0.7,34808.0
527,Village of the Damned,1960,0.77,0.73,0.92,14148.0
528,Village of the Damned,1995,0.41,0.5599999999999999,0.29,27584.0
529,Virus,1999,0.19,0.5,0.1,25711.0
530,The Visitor,1979,0.65,0.52,0.78,2601.0
531,Visit to a Small Planet,1960,,0.61,,893.0
532,Voyage of the Rock Aliens,1984,,0.5599999999999999,,505.0
533,Voyage to the Planet of Prehistoric Women,1968,,0.29,,1190.0
534,Voyage to the Prehistoric Planet,1965,,0.38,,1387.0
535,Warlords of Atlantis,1978,,,,
536,War of the Planets,1966,,0.41,,416.0
537,The War of the Worlds,1953,0.78,0.71,,31245.0
538,War of the Worlds,2005,0.73,0.65,0.75,403735.0
539,War of the Worlds 2: The Next Wave,2008,,0.2,,3911.0
540,War of the Worlds – The True Story,2012,,0.8,,680.0
541,Warning from Space,1956,,0.44000000000000006,,623.0
542,The Watch,2012,0.36,0.5700000000000001,0.17,118797.0
543,Welcome to the Space Show,2010,,0.6799999999999999,,795.0
544,What on Earth!,1966,,0.73,,169.0
545,What Planet Are You From?,2000,0.41,0.5599999999999999,0.42,8898.0
546,Within the Rock,1996,,0.42000000000000004,,456.0
547,Without Warning,1980,,0.52,,3086.0
548,The Wizard of Mars,1965,,0.33999999999999997,,380.0
549,The World's End,2013,0.81,0.7,0.89,247919.0
550,The X-Files: Fight the Future,1998,,0.74,,349.0
551,The X-Files: I Want to Believe,2008,0.47,0.5900000000000001,0.31,87143.0
552,The X from Outer Space,1967,,0.49000000000000005,,902.0
553,X-Men: Dark Phoenix,2019,0.43,0.58,0.23,132810.0
554,Xtro,1983,,0.5599999999999999,0.43,5554.0
555,Xtro II: The Second Encounter,1991,,0.32999999999999996,,1412.0
556,Xtro 3: Watch the Skies,1995,,0.35,,845.0
557,Zarkorr! The Invader,1995,,0.37,,264.0
558,Zathura,2005,0.67,0.62,0.75,88877.0
559,Zenon: The Zequel,2001,,0.5900000000000001,,3318.0
560,Zeta One,1969,,,,
561,Zombies of the Stratosphere,1952,,0.5700000000000001,,336.0
562,Zone Troopers,1985,,0.53,,1265.0
563,"Zontar, the Thing from Venus",1966,,0.3,,670.0
564,Occupation,2018,0.45,0.51,0.5,11100.0
565,Alien Siege,2005,,0.35,,809.0
566,Attraction,2017,,0.55,,8983.0
567,The Gendarme and the Extra-Terrestrials,1979,,,,
568,The Cabbage Soup,1981,,0.65,,7134.0
