,Title,Year,Metacritic,Internet Movie Database,Rotten Tomatoes,IMDB Votes
108,Cat-Women of the Moon,1953,,0.39,0.33,1413.0
109,Ché OVNI,1968,,0.48,,20.0
110,Chicken Little,2005,0.48,0.5700000000000001,0.37,82825.0
111,Children of the Damned,1964,,0.62,0.75,3749.0
112,Christmas on Mars,2008,,0.5700000000000001,0.5,720.0
113,The Chronicles of Riddick,2004,0.38,0.67,0.29,210213.0
114,CJ7,2008,0.46,0.64,0.49,13892.0
115,Close Encounters of the Third Kind,1977,0.9,0.76,0.95,176121.0
116,Cloverfield,2008,0.64,0.7,0.77,363044.0
117,The Cloverfield Paradox,2018,0.37,0.55,0.2,89880.0
118,Cocoon,1985,0.65,0.67,0.78,54843.0
119,Cocoon: The Return,1988,0.45,0.54,0.33,14795.0
120,Communion,1989,,0.5599999999999999,0.2,5259.0
121,Coneheads,1993,0.49,0.53,0.35,48872.0
122,Contact,1997,0.62,0.74,0.64,245382.0
123,Cowboys & Aliens,2011,0.5,0.6,0.45,201974.0
124,Creature,1985,,0.43,,3082.0
125,The Creature Wasn't Nice,1983,,0.32,,1428.0
126,The Creeping Terror,1964,,0.21000000000000002,,3969.0
127,Critters,1986,0.52,0.61,0.58,29830.0
128,Critters 2: The Main Course,1988,,,,
129,Critters 3,1991,,0.44000000000000006,0.0,10510.0
130,Critters 4,1992,,0.41,,6504.0
131,Daleks – Invasion Earth: 2150 A.D.,1966,,0.61,0.8,2997.0
132,Dark City,1998,0.66,0.76,,182852.0
133,The Dark Crystal,1982,0.66,0.72,0.79,59955.0
134,Darkening Sky,2010,,0.44000000000000006,,312.0
135,The Darkest Hour,2011,0.18,0.49000000000000005,0.12,56489.0
136,Dark Skies,2013,0.5,0.63,0.41,68040.0
137,Dark Star,1974,0.66,0.63,0.8,21205.0
138,Dark Universe,1993,,0.33999999999999997,,258.0
139,The Day Mars Invaded Earth,1963,,0.48,,673.0
140,The Day of the Triffids,1962,,0.5599999999999999,,3946.0
141,The Day the Earth Stood Still,1951,,0.77,0.95,74433.0
142,The Day the Earth Stood Still,2008,0.4,0.55,0.21,159918.0
143,The Day the Earth Stopped,2008,,0.27,,1781.0
144,The Deadly Spawn,1983,,0.61,,3924.0
145,Deadpool 2,2018,0.66,0.77,0.84,444684.0
146,Decoys,2004,,0.45999999999999996,,4449.0
147,Decoys 2: Alien Seduction,2007,,0.45999999999999996,,2151.0
148,Destroy All Monsters,1968,,0.65,0.75,4726.0
149,Devil Girl from Mars,1954,,0.5,,1135.0
150,District 9,2009,0.81,0.79,0.9,623171.0
151,Doctor Strange,2016,0.72,0.75,0.89,562696.0
152,Doctor Who,1996,,0.64,,8569.0
153,Doom,2005,0.34,0.52,0.19,103829.0
154,Dragonball Evolution,2009,0.45,0.25,0.15,68230.0
155,Dr. Alien,1989,,0.45,,819.0
156,Dreamcatcher,2003,0.35,0.55,0.28,86907.0
157,Dr. Who and the Daleks,1965,,0.58,0.47,3544.0
158,"Dude, Where's My Car?",2000,0.3,0.55,0.17,131443.0
159,Dune,1984,0.4,0.65,0.53,118326.0
160,E.T. the Extra-Terrestrial,1982,0.91,0.78,0.98,356222.0
161,Earth Girls Are Easy,1988,0.66,0.54,0.67,19419.0
162,Earth to Echo,2014,0.53,0.58,0.51,17962.0
163,Earth vs. the Flying Saucers,1956,,0.64,0.71,6666.0
164,Edge of Tomorrow,2014,0.71,0.79,0.9,575314.0
165,Ender's Game,2013,0.51,0.6599999999999999,0.62,217740.0
166,Enemy Mine,1985,0.59,0.6900000000000001,0.59,41878.0
167,Escape from Planet Earth,2013,0.35,0.5900000000000001,0.35,23977.0
168,Escape to Witch Mountain,1975,0.6,0.64,0.76,8810.0
169,Escape to Witch Mountain,1995,,0.65,,1218.0
170,Europa Report,2013,0.68,0.64,0.81,65062.0
171,Evolution,2001,0.4,0.61,0.43,116188.0
172,Ewoks: The Battle for Endor,1985,,0.55,,8015.0
173,Excursion to the Moon,1908,,0.55,,165.0
174,Explorers,1985,0.58,0.6599999999999999,,18790.0
175,Extinction,2018,0.4,0.58,0.39,42576.0
176,Extraterrestrial,2011,0.55,0.58,0.68,3714.0
177,Extraterrestrial,2014,0.38,0.5,0.29,14240.0
178,The Eye Creatures,1965,,0.22000000000000003,,1170.0
179,The Faculty,1998,0.61,0.65,0.53,106897.0
180,Fantastic Four: Rise of the Silver Surfer,2007,,,,
181,Fantastic Planet,1973,,0.78,0.9,22491.0
182,Feeders,1996,,0.2,,634.0
183,The Fifth Element,1997,0.52,0.77,0.71,419192.0
184,Fire in the Sky,1993,0.42,0.6599999999999999,0.42,20399.0
185,Fire Maidens from Outer Space,1956,,,,
186,First Men in the Moon,1964,,0.6599999999999999,0.75,4919.0
187,First Spaceship on Venus,1962,,0.45,,2438.0
188,Flash Gordon (serial),1936,,,,
189,Flash Gordon,1980,0.58,0.65,0.8,48333.0
190,Flash Gordon Conquers the Universe,1940,,0.6799999999999999,0.88,1148.0
191,Flesh Gordon,1974,,0.47000000000000003,0.67,3742.0
192,Flesh Gordon Meets the Cosmic Cheerleaders,1989,,0.36,,1346.0
193,Flight of the Navigator,1986,0.64,0.6900000000000001,0.83,42322.0
194,Flight to Mars,1950,,0.52,,802.0
195,The Flintstones in Viva Rock Vegas,2000,0.27,0.36,0.25,20755.0
196,Flying Disc Man from Mars,1950,,0.5599999999999999,,177.0
197,Flying Saucer Rock'n'Roll,1997,,0.72,,52.0
198,Forbidden Planet,1956,,0.76,0.98,43580.0
199,Forbidden World,1982,,0.52,0.6,3790.0
200,The Forgotten,2004,0.43,0.58,0.32,62738.0
201,The Fourth Kind,2009,0.34,0.5900000000000001,0.18,71689.0
202,Frankenstein Island,1981,,0.22000000000000003,,857.0
203,Frankenstein Meets the Space Monster,1965,,,,
204,Freaks of Nature,2015,,0.5900000000000001,,10367.0
205,Futurama: Bender's Big Score,2007,,0.77,1.0,32229.0
206,Futurama: The Beast with a Billion Backs,2008,,0.72,0.8,22580.0
207,The Galaxy Invader,1985,,0.31,,1073.0
208,Galaxy of Terror,1981,0.38,0.51,0.33,6304.0
209,Galaxy Quest,1999,0.7,0.73,0.89,143129.0
210,Gamera: Super Monster,1980,,,,
211,Gamera vs. Viras,1968,,0.45999999999999996,,1190.0
212,Gamera vs. Zigra,1971,,0.33999999999999997,,1142.0
